id	examNumber	questionNumber	category	topic	type	difficulty	question	optionA	optionB	optionC	optionD	optionE	answerIndex	correctAnswer	explanation	source	sourcePhoto	answerPhoto	image	imageAlt	imageCaption
"exam7-087"	"7"	"87"	"Radiopharmaceuticals"	"Radiopharmaceuticals"	"concept"	"2"	"During the IV injection of unit doses, all of the following practices are standard aseptic technique except:"	"assembling the syringe and needle aseptically"	"using disposable equipment before its expiration date"	"aseptically cleaning the venipuncture site before injection with an alcohol swab"	"uncapping the needie immediately before the injection"	"wearing sterile gloves"	"4"	"wearing sterile gloves"	"Using disposable equipment before its expiration date, aseptically cleaning the venipuncture site before injection with an alcohol swab, and uncapping the needle immediately before injection are all standard aseptic technique practices. Wearing sterile gloves is not part of standard aseptic technique. Disposable gloves are used during venipuncture."	"Source: Adler and Carlton, 2007; p. 316."	"Question photos/Questions/Exam 7/IMG_1189.jpeg"	"Question photos/Answers/Exam 7/IMG_1263.jpeg"	""	""	""
"exam7-088"	"7"	"88"	"Instrumentation & QC"	"Dose Calibrator QC"	"protocol"	"3"	"The prescribed unit dose range for a radiopharmaceutical is 5-8 mCi. The unit dose is assayed in a dose calibrator is 19.2 mCi. Which of these actions is the best for the technologist to pursue?"	"Squirt excess dose into a waste bucket."	"Do not use the dose and call the radiopharmacy for a replacement dose."	"Question whether the right radiopharmaceutical has been prepared."	"Delay the radiopharmaceutical administration until the unit dose has decayed."	"Administer the unit dose to the patient."	"1"	"Do not use the dose and call the radiopharmacy for a replacement dose."	"Unless otherwise directed by the authorized user (AU), a licensee may not use a dosage if it does not fall within the prescribed range or if it differs from the prescribed dosage by greater than 20%."	"Source: Siegel, 2004; p. 50."	"Question photos/Questions/Exam 7/IMG_1189.jpeg"	"Question photos/Answers/Exam 7/IMG_1263.jpeg"	""	""	""
"exam7-089"	"7"	"89"	"Patient Care"	"Patient Care"	"concept"	"4"	"How many microcuries must be placed in each [123I] sodium iodide capsule to provide approximately 220 uCi at the time of calibration 29 hr after preparation (Decay Factor for 1 hr = 0.9488)?"	"264 uCi"	"704 uCi"	"1009 uCi"	"800 uCi"	"234 uCi"	"2"	"1009 uCi"	"The decay time is t = 29 hr. The decay factor for 1 hr is 0.9488, so the 29-hr decay factor is 0.9488^29. The pre-calibration factor is the reciprocal of that decay factor, approximately 4.59. The activity that must be placed in each [123I] sodium iodide capsule is 4.59 x 220 uCi = 1009 uCi."	"Source: Cherry, et al., 3rd ed.; p. 35."	"Question photos/Questions/Exam 7/IMG_1189.jpeg"	"Question photos/Answers/Exam 7/IMG_1263.jpeg"	""	""	""
"exam7-090"	"7"	"90"	"Radiopharmaceuticals"	"Radiopharmaceuticals"	"concept"	"5"	"Which of the following is not one of the factors that affect daily planning needs for a nuclear medicine department?"	"types of nuclear medicine procedures"	"unit dosages or dosage ranges for each procedure"	"time interval between radiopharmaceutical preparation and administration"	"percentage of ""no shows"" a department expects"	"number of each nuclear medicine procedure"	"3"	"percentage of ""no shows"" a department expects"	"Part of planning in a nuclear medicine facility includes the activities and forethought needed to maintain the appropriate amount of supplies and doses to accomplish the type and number of procedures done for the day. The time interval between radiopharmaceutical preparation and administration is also part of the forethought needed. The percentage of no-shows a department expects is not part of the daily planning because all the patients may come, and a facility has to be prepared."	"Source: Adler and Carlton, 2007; p. 68-69."	"Question photos/Questions/Exam 7/IMG_1189.jpeg"	"Question photos/Answers/Exam 7/IMG_1263.jpeg"	""	""	""
"exam7-091"	"7"	"91"	"Radiopharmaceuticals"	"Bone Imaging"	"concept"	"1"	"The following studies are ordered for the next day: 
total-body bone image, Meckel's diverticulum localization, renal and a hepatobiliary study. 

Which of the following radiopharmaceuticals is not needed?"	"[99mTc] mebrofenin (HIDA)"	"[99mTc] macroaggregated albumin"	"[99mTc] medronate (MDP)"	"[99mTc] pertechnetate"	"[99mTc] mertiatide (MAG3)"	"1"	"[99mTc] macroaggregated albumin"	"[99mTc] medronate (MDP) is used for total body bone imaging, [99mTc] pertechnetate (pertechnetate) is used to image Meckel's diverticulum localization, and [99mTc] mebrofenin (HIDA) is used for a hepatobiliary study. [99mTc] macroaggregated albumin (MAA) is used for lung perfusion scans and is not needed for the studies that will be performed c Taber's, 20th ed., F.A. Davis Company, 2005; p. 247. Bioavailability refers to the rate and extent of the strength to which an active drug or substance enters the general circulation."	"Source: Shackett, 2009; p. 28, 125, 148, 173."	"Question photos/Questions/Exam 7/IMG_1189.jpeg"	"Question photos/Answers/Exam 7/IMG_1263.jpeg"	""	""	""
"exam7-092"	"7"	"92"	"Clinical Procedures"	"Clinical Procedures"	"concept"	"2"	"Bioavailability refers to what, concerning pharmacology?"	"fraction of a drug that is delivered to body based on weight"	"fraction of a drug that is excreted from the body"	"fraction of a drug that reaches systemic circulation after a particular route of administration"	"fraction of a drug that reaches the kidney"	"fraction of a drug that reaches the heart"	"2"	"fraction of a drug that reaches systemic circulation after a particular route of administration"	"Bioavailability is the fraction of an administered drug that reaches systemic circulation after a particular route of administration."	"Source photo: IMG_1263.jpeg."	"Question photos/Questions/Exam 7/IMG_1189.jpeg"	"Question photos/Answers/Exam 7/IMG_1263.jpeg"	""	""	""
"exam7-093"	"7"	"93"	"Clinical Procedures"	"Clinical Procedures"	"concept"	"3"	"All IV contrast agents have a greater osmolality than plasma. The osmolality of plasma is _____ mOsm/kg:"	"75"	"435"	"285"	"525"	"755"	"2"	"285"	"Taber's, 20th ed., F.A. Davis Company, 2005; p. 1538. The osmolality of plasma has a narrow range of 275-295 m0sm/kg."	"Source photo: Answers/Exam 7/IMG_1263.jpeg."	"Question photos/Retake Photos/IMG_1356.jpeg"	"Question photos/Answers/Exam 7/IMG_1263.jpeg"	""	""	""
"exam7-094"	"7"	"94"	"Radiopharmaceuticals"	"Radiopharmaceuticals"	"concept"	"4"	"Which of the following is ""not"" a route of administration of a radiopharmaceutical?"	"inhalation"	"intravenous (IV)"	"intrathecal"	"oral"	"intramuscular"	"4"	"intramuscular"	"The route of administration for a lung ventilation study is through inhalation. Many nuclear medicine studies require an intravenous (IV) route of administration. Some examples include bone imaging, HIDA scans, and lung perfusion studies. Cisternography utilizes an intrathecal route of administration. Intraarterial is not a route of administration for a radiopharmaceutical."	"Source: Shackett, 2009; p. 28, 79, 125, 148, 160."	"Question photos/Questions/Exam 7/IMG_1189.jpeg"	"Question photos/Answers/Exam 7/IMG_1263.jpeg"	""	""	""
"exam7-095"	"7"	"95"	"Radiopharmaceuticals"	"Radiopharmaceuticals"	"concept"	"5"	"If a concentration equals 25 mCi/mL at 0700 but a dose of 30 mCi has to be drawn at 0200, what volume has to be drawn if the Decay Factor equals 1 hr = 0.985?"	"~1.11 mL"	"~1.52 mL"	"~0.77 mL"	"~0.52 mL"	"~0.75 mL"	"0"	"~1.11 mL"	"The decay factor for 1 hr is 0.985. The time is t = 5 hr. The concentration of activity in the vial is 1/0.9855 x 25 mCi/mL = 26.962 ml. The volume required for 30 mCi is 30 mCi divided by 26.962 mCi/ml = 1.11 mL."	"Source: Cherry, et al., 3rd ed.; pp. 34-35."	"Question photos/Questions/Exam 7/IMG_1189.jpeg"	"Question photos/Answers/Exam 7/IMG_1263.jpeg"	""	""	""
"exam7-096"	"7"	"96"	"Clinical Procedures"	"Clinical Procedures"	"concept"	"1"	"Which of the following is most characteristic of a neutron activation product produced from an (n, p) reaction?"	"decay by electron capture"	"can be made nearly carrier free"	"relatively low specific activity"	"more expensive than cyclotron products"	"cannot be added to preservative-free saline"	"1"	"can be made nearly carrier free"	"In an (n, p) reaction, the product nuclide is an isotope of a different element, which allows for the production of high-specific-activity, carrier-free radioisotopes."	"Source: Christian and Waterstram-Rich, 2007; p. 167."	"Question photos/Questions/Exam 7/IMG_1189.jpeg"	"Question photos/Answers/Exam 7/IMG_1263.jpeg"	""	""	""
"exam7-097"	"7"	"97"	"Radiation Safety"	"Generator / Eluate"	"protocol"	"2"	"Which of the following statements about the determination of aluminum contamination in 99mTc eluate is true?"	"The eluate sample is compared to a standard solution with an aluminum concentration of zero."	"The test for aluminum breakthrough needs to be performed only after the generator has been eluted 10-12 times."	"The USP states that the aluminum concentration in 99mTc eluate is not to exceed 15 ug/mL of eluate."	"An excessively increased aluminum concentration indicates that the elution volume exceeds the capacity of the generator."	"The USP states that the aluminum concentration in 99mTc eluate is not to exceed 10 ug/L of eluate."	"4"	"The USP states that the aluminum concentration in 99mTc eluate is not to exceed 10 ug/L of eluate."	"The USP 26 limit states that the limit for aluminum concentration in a 9m*Tc eluate is 10 pg/mL. for fission-produced 99Mo."	"Source: Saha, 2004; p. 75."	"Question photos/Questions/Exam 7/IMG_1191.jpeg"	"Question photos/Answers/Exam 7/IMG_1263.jpeg"	""	""	""
"exam7-098"	"7"	"98"	"Radiation Safety"	"Radiation Safety"	"concept"	"3"	"In practice, carrier-free specific activity means that:"	"No stable forms of the radioisotope are in the sample."	"The sample contains no chemical contaminants."	"All nuclei in the sample will always remain radioactive."	"Only stable forms of an isotope are present."	"It creates metal hydrogen."	"0"	"No stable forms of the radioisotope are in the sample."	"Carrier-free specific activity is when no stable forms of the radioisotope are in the sample. This is because no stable form of the radioisotope is expected to be in a sample."	"Source: Saha, 2004; p. 48, 90, 358."	"Question photos/Questions/Exam 7/IMG_1191.jpeg"	"Question photos/Answers/Exam 7/IMG_1263.jpeg"	""	""	""
"exam7-099"	"7"	"99"	"Image Production"	"SPECT"	"protocol"	"4"	"If no eluate appears in the collection vial during generator elution, the technologist should first:"	"attempt to eluate the generator with a different (new) collection vial"	"contact the manufacturer for advice"	"change the generator tubing"	"add more elution solvent to the column"	"inspect the column"	"0"	"attempt to eluate the generator with a different (new) collection vial"	"Attempt to elute the generator with a different (new) collection vial first to see if the evacuated vial was compromised."	"Source: Saha, 2004; p. 64-77."	"Question photos/Questions/Exam 7/IMG_1191.jpeg"	"Question photos/Answers/Exam 7/IMG_1264.jpeg"	""	""	""
"exam7-100"	"7"	"100"	"Clinical Procedures"	"Clinical Procedures"	"concept"	"5"	"A(n) _______ contrast material may be described as one that does not dissociate or divide into charged particles in solution."	"non-ionic"	"ionic"	"oral"	"osmolar"	"intravenous"	"0"	"non-ionic"	"A non-ionic contrast material may be described as one that does not dissociate or divide into charged particles in solution."	"Source: Adler and Carlton, 2007; p. 329."	"Question photos/Questions/Exam 7/IMG_1191.jpeg"	"Question photos/Answers/Exam 7/IMG_1264.jpeg"	""	""	""
"exam8-001"	"8"	"1"	"Patient Care"	"Patient Care"	"concept"	"1"	"Caffeine is contraindicated for which of the following interventional pharmacologic agents?"	"CCK"	"adenosine"	"insulin"	"furosemide"	"captopril"	"1"	"adenosine"	"Products that contain methylxanthine should be held at least 12 hours before administration of adenosine. Products that contain methylxanthine include caffeine, theophylline, and theobromine."	"Source: Waterstram-Rich and Gilmore, 2017; p. 499."	"Question photos/Questions/Exam 8/IMG_1192.jpeg"	"Question photos/Answers/Exam 8/IMG_1265.jpeg"	""	""	""
"exam8-002"	"8"	"2"	"Clinical Procedures"	"Clinical Procedures"	"concept"	"2"	"The recommended dosage of adenosine is:"	"140 mcg/kg/min"	"14 mcg/kg/min"	"1.4 mcg/kg/min"	"1,400 mcg/kg/min"	"14,000 mcg/kg/min"	"0"	"140 mcg/kg/min"	"Adenosine should be administered using an infusion pump and given at a rate of 140 pg/kg/min over the course of 6 minutes."	"Source: Waterstram-Rich and Gilmore, 2017; p. 499."	"Question photos/Questions/Exam 8/IMG_1192.jpeg"	"Question photos/Answers/Exam 8/IMG_1265.jpeg"	""	""	""
"exam8-003"	"8"	"3"	"Instrumentation & QC"	"Instrumentation & QC"	"protocol"	"3"	"An adult patient who has been administered adenosine starts to break out in hives and suddenly passes out, what is the first thing you should do?"	"Shake the person and shout, ""Are you okay?"""	"Call a code."	"Check for a pulse."	"Give 2 breaths."	"Give 30 chest compressions."	"0"	"Shake the person and shout, ""Are you okay?"""	"The technologist should activate the emergency response system. The first step in this situation for the healthcare provider is to verity victim unresponsiveness. This is usually done by the ""shake and shout"" approach."	"Source: Waterstram-Rich and Gilmore, 2017; p. 174."	"Question photos/Questions/Exam 8/IMG_1192.jpeg"	"Question photos/Answers/Exam 8/IMG_1265.jpeg"	""	""	""
"exam8-004"	"8"	"4"	"Radiopharmaceuticals"	"Generator / Eluate"	"concept"	"4"	"The process of eluting a dry 99Mo/99mTc generator relies on:"	"positive pressure"	"neutral pressure"	"negative pressure"	"electrical conductivity"	"magnetic resonance"	"2"	"negative pressure"	"placed on the collection port and draws saline from the saline charge over the column through negative pressure to produce the yield product."	"Source: Waterstram-Rich and Gilmore, 2017; p. 83. The dry column generator uses up to a 20 mL saline charge that is applied to the exterior of the generator system. An evacuated vial is"	"Question photos/Questions/Exam 8/IMG_1192.jpeg"	"Question photos/Answers/Exam 8/IMG_1265.jpeg"	""	""	""
"exam8-005"	"8"	"5"	"Radiopharmaceuticals"	"Generator / Eluate"	"concept"	"5"	"If the results of a 99Mo/99mTc generator Moly breakthrough test are 1.2 Ci of 99mTc and 25 uCi of 99Mo, what is the approximate ratio of 99Mo to 99mTc for a Moly breakthrough determination?"	"0.02"	"48"	"20.8"	"0.048"	"50"	"0"	"0.02"	"Mo/Tc = 25 uCi 99Mo / mCi 99mTc 0.025 uCi 99Mo/1.2 Ci 99mTc = 0.02"	"Source: Bolus and Brady, 2011; p. 27."	"Question photos/Questions/Exam 8/IMG_1192.jpeg"	"Question photos/Answers/Exam 8/IMG_1265.jpeg"	""	""	""
"exam8-006"	"8"	"6"	"Radiopharmaceuticals"	"Generator / Eluate"	"concept"	"1"	"The USP has set the aluminum breakthrough for a 99Mo/99mTc generator at or below what amount?"	"10 ug/mL"	"100 ug/mL"	"10 ug/uL"	"100 ug/uL"	"0.15 ug/uL"	"0"	"10 ug/mL"	"The U.S. Pharmacopeia has set the concentration limit for Al3+ to be no greater than 10 pg/mL of the eluate."	"Source: Bolus and Brady, 2011; p. 27."	"Question photos/Questions/Exam 8/IMG_1192.jpeg"	"Question photos/Answers/Exam 8/IMG_1265.jpeg"	""	""	""
"exam8-007"	"8"	"7"	"Radiopharmaceuticals"	"Radiopharmaceuticals"	"concept"	"2"	"What is the approximate dose range for a [99mTc] sulfur colloid gastric emptying study?"	"1-5 mCi"	"1-5 uCi"	"2 uCi-200 uCi"	"500 uCi-1 mCi"	"10-15 mCi"	"3"	"500 uCi-1 mCi"	"Part of the standard meal given to the patient for the gastric emptying study is the mixture of 500 uCi to 1 mCi of 99mTc sulfur colloid with liquid egg whites."	"Source: Waterstram-Rich and Gilmore, 2017; p. 535."	"Question photos/Questions/Exam 8/IMG_1193.jpeg"	"Question photos/Answers/Exam 8/IMG_1265.jpeg"	""	""	""
"exam8-008"	"8"	"8"	"Radiation Safety"	"Bone Imaging"	"image-interpretation"	"4"	"When performing a 3-phase bone scan, when should imaging begin?"	"immediately upon injection"	"2 hours post-injection"	"10 minutes post-injection"	"24 hours post-injection"	"There are no imaging requirements for a 3-phase bone scan."	"0"	"immediately upon injection"	"The radiopharmaceutical should be administered via bolus injection. Dynamic images of the blood flow are acquired immediately upon injection and continuing for at least 1 minute after."	"Source: Bolus and Brady, 2011; p. 142."	"Question photos/Questions/Exam 8/IMG_1193.jpeg"	"Question photos/Answers/Exam 8/IMG_1265.jpeg"	""	""	""
"exam8-009"	"8"	"9"	"Radiopharmaceuticals"	"MAA / Pulmonary Perfusion"	"concept"	"4"	"The color and clarity of which of the following radiopharmaceuticals would be expected to be turbid and white?"	"99mTc-MDP"	"99mTc-HIDA"	"99mTc-MAA"	"99mTc-SC"	"99mTc-HMPAO"	"2"	"99mTc-MAA"	"The normal color and clarity of reconstituted 99mTc-MAA is turbid and white in appearance."	"Source: Kowalsky and Falen, 2004; p. 425."	"Question photos/Questions/Exam 8/IMG_1193.jpeg"	"Question photos/Answers/Exam 8/IMG_1265.jpeg"	""	""	""
"exam8-010"	"8"	"10"	"Radiopharmaceuticals"	"Radiopharmaceuticals"	"concept"	"5"	"If the bound radiochemical purity % is 92% and the hydrolyzed % is 3.2%, what amount of free 99mTc is in the product?"	"92%"	"3.2%"	"4.8%"	"2.3%"	"8.1%"	"2"	"4.8%"	"100% - 92% radiochemical purity - 3.2% hydrolyzed product = 4.8% free 99mTc"	"Source: Bolus and Brady, 2011; p. 29."	"Question photos/Retake Photos/IMG_1357.jpeg"	"Question photos/Answers/Exam 8/IMG_1265.jpeg"	""	""	""
"exam8-011"	"8"	"11"	"Radiopharmaceuticals"	"Generator / Eluate"	"concept"	"1"	"A radiopharmaceutical kit has to be reconstituted at 0800. Given the following information, what approximate amount of 99mTc-TcO4 and saline would be needed to make up the kit? 
99Mo/99mTc generator eluate: 850 mCi in 20 mL at 0600.
Preservative-free saline: 50 mL available.
Package insert kit preparation information: 8 mL kit with 65 mCi of 99mTc needed at reconstitution."	"2 mL eluate and 6 mL saline"	"6 mL eluate and 2 mL saline"	"1.5 mL eluate and 6.5 mL saline"	"6.5 mL eluate and 1.5 mL saline"	"1.7 mL eluate and 6.3 mL saline"	"0"	"2 mL eluate and 6 mL saline"	"850 mCi 99mTc / 20 mL saline = 42.5 mCi/mL at 0600. Decay-correct for 2 hours for 99mTc: decay factor = 0.5^(2 hr/6 hr). A = 42.5 mCi/mL x 0.5^(2/6) = 33.73 mCi/mL at 0800. 65 mCi 99mTc needed at 0800 / 33.73 mCi/mL at 0800 = approximately 2 mL of 99mTcO4-. Total volume needed = 8 mL. Therefore, 8 mL - 2 mL = 6 mL saline needed."	"Source: Bolus and Brady, 2011; p. 28."	"Question photos/Retake Photos/IMG_1357.jpeg"	"Question photos/Answers/Exam 8/IMG_1265.jpeg"	""	""	""
"exam8-012"	"8"	"12"	"Radiopharmaceuticals"	"Radiopharmaceuticals"	"concept"	"2"	"A patient dose is needed at 1300. Based on the information provided below, what approximate volume would be needed for this 99mTc-based product? 

Radiopharmaceutical kit: 150 mCi in 6 mL at 0900 
Dose needed at 1300 is 25 mCi."	"2.6 mL"	"1.0 mL"	"0.63 mL"	"1.6 mL"	"0.4 mL"	"3"	"1.6 mL"	"150 mCi 99mTc / 6 mL saline = 25 mCi/mL at 0900. Decay-correct for 4 hours for 99mTc: A = 25 mCi/mL x 0.5^(4 hr/6 hr) = 15.7 mCi/mL at 1300. 25 mCi needed at 1300 / 15.7 mCi/mL at 1300 = approximately 1.6 mL of 99mTc."	"Source: Bolus and Brady, 2011; p. 26."	"Question photos/Questions/Exam 8/IMG_1193.jpeg"	"Question photos/Answers/Exam 8/IMG_1265.jpeg"	""	""	""
"exam8-013"	"8"	"13"	"Radiation Safety"	"Radiation Safety"	"concept"	"3"	"For a 90Y ibritumomab tiuxetan monoclonal antibody therapy, the prescribed dose is 25.6 mCi, according to NRC and CFR regulations what would be the approximate dose range for this radioimmunotherapy?"	"20.5-30.7 mCi"	"23.2-28.4 mCi"	"no more than 32 mCi"	"no less than 15 mCi"	"0-32 mCi"	"0"	"20.5-30.7 mCi"	"U.S. Nuclear Regulatory Commission, 2015 (10 CFR 35.3045). Therapeutic dose should not differ from 20% of prescribed dose."	"Source photo: Answers/Exam 8/IMG_1265.jpeg."	"Question photos/Questions/Exam 8/IMG_1193.jpeg"	"Question photos/Answers/Exam 8/IMG_1265.jpeg"	""	""	""
"exam8-014"	"8"	"14"	"Clinical Procedures"	"Clinical Procedures"	"concept"	"4"	"When using 51Cr for red blood cell labeling, what mechanism binds 80-95% of the chromate ion after 30 minutes of incubation?"	"liver to splenic involvement traps annealed red blood cells"	"compartmentalization of hemoglobin ion chain"	"active transport through blood-brain barrier"	"chromate ion is transported across red cell membrane and binds to alpha chain of hemoglobin molecule"	"chromate ion is transported across red cell membrane and binds to beta chain of hemoglobin molecule"	"4"	"chromate ion is transported across red cell membrane and binds to beta chain of hemoglobin molecule"	"When labeling RBCs with ""Cr ascorbic acid, approximately 80% to 95% of the chromate ion is promptly transported across the RBC membrane and binds to the beta chain of the hemoglobin molecule."	"Source: Waterstram-Rich and Gilmore, 2017 p. 623."	"Question photos/Questions/Exam 8/IMG_1193.jpeg"	"Question photos/Answers/Exam 8/IMG_1266.jpeg"	""	""	""
"exam8-015"	"8"	"15"	"Clinical Procedures"	"Clinical Procedures"	"concept"	"5"	"To determine plasma volume using 125I human serum albumin, one technique is to collect three 10 mL heparinized blood samples at what time intervals post-injection?"	"1, 3, and 5 minutes"	"5, 10, and 15 minutes"	"10, 20, and 30 minutes"	"20, 30, and 40 minutes"	"30, 60, and 90 minutes"	"2"	"10, 20, and 30 minutes"	"Three 10 ml heparinized blood samples are collected at exactly 10, 20, and 30 minutes after injection from a venous site other than the injection site."	"Source: Bolus and Brady, 2011; p. 156."	"Question photos/Questions/Exam 8/IMG_1193.jpeg"	"Question photos/Answers/Exam 8/IMG_1266.jpeg"	""	""	""
"exam8-016"	"8"	"16"	"Clinical Procedures"	"Thyroid Imaging"	"image-interpretation"	"3"	"If the clinical indication for a study was evaluation of an abnormal thyroid serum laboratory result, the proper nuclear medicine procedure would be a:"	"pancreatic scan"	"thyroid uptake"	"pituitary scan"	"liver uptake with GFR determination"	"GBEF"	"1"	"thyroid uptake"	"Thyroid iodine uptake (24-hour iodine uptake) is a frequently requested nuclear medicine procedure to assess or confirm thyroid function particularly in patients suspected of having hyperthyroidism based on either symptoms or confirmatory laboratory tests, especially suppressed TSH. Elevated levels of TSH are suggestive of hypothyroidism."	"Source: Waterstram-Rich and Gilmore, 2017; p. 441."	"Question photos/Questions/Exam 8/IMG_1193.jpeg"	"Question photos/Answers/Exam 8/IMG_1266.jpeg"	""	""	""
"exam8-017"	"8"	"17"	"Radiopharmaceuticals"	"Radiopharmaceuticals"	"concept"	"2"	"The SNMMI Pediatric Tool Kit recommended dosage of 18F FDG for brain imaging in pediatric patients is 0.10 mCi/kg. If a pediatric patient weighs 45 lbs, What approximate dose should the patient recieve?"	"20 mCi"	"2.0 mCi"	"4.5 mCi"	"45 mCi"	"0.20 mCi"	"1"	"2.0 mCi"	"Source: SNMMI Pediatric Tool Kit, 2017. 45 lbs / 2.2 lbs/kg = 20.45 kg 20.45 kg x 0.1 mCi = approximately 2.0 mCi [18F]FDG"	"Source: SNMMI Pediatric Tool Kit, 2017. 45 lbs / 2.2 lbs/kg = 20.45 kg 20.45 kg x 0.1 mCi = approximately 2.0 mCi [18F]FDG"	"Question photos/Questions/Exam 8/IMG_1194.jpeg"	"Question photos/Answers/Exam 8/IMG_1266.jpeg"	""	""	""
"exam8-018"	"8"	"18"	"Radiopharmaceuticals"	"Renal Imaging"	"concept"	"3"	"An adjunctive medication of furosemide is needed for a renal study. The prescribed dosage is 0.1 mg/kg as a bolus injection. If the dose is supplied as 25 mg/ml and the patient weighs 377 lbs, what approximate volume is needed for the patient dose?"	"0.69 mL"	"6.8 mL"	"1.5 mL"	"0.15 mL"	"4.2 mL"	"0"	"0.69 mL"	"377 lbs/2.2 lbs/kg = 171.36 kg 171.36 kg x 0.1 mg/kg = 17136 mg needed 17.136 mg needed/25 mg/ml = 0.69 mL needed"	"Source: Waterstram-Rich and Gilmore, 2017; p. 564."	"Question photos/Questions/Exam 8/IMG_1194.jpeg"	"Question photos/Answers/Exam 8/IMG_1266.jpeg"	""	""	""
"exam8-019"	"8"	"19"	"Radiopharmaceuticals"	"MAA / Pulmonary Perfusion"	"concept"	"4"	"What is a radiopharmaceutical that can be used for a brain perfusion study?"	"[111In] WBCs"	"[99mTc] RBCs"	"[99mTc] MAA"	"[99mTc] sulfur colloid"	"[99mTc] bicisate (ECD)"	"4"	"[99mTc] bicisate (ECD)"	"The two primary radiopharmaceuticals used for brain perfusion imaging are 99mTc-exametazime (HMPAO) and 99mTc-bicisat (ECD)."	"Source: Bolus and Brady, 2011; p. 96."	"Question photos/Questions/Exam 8/IMG_1194.jpeg"	"Question photos/Answers/Exam 8/IMG_1266.jpeg"	""	""	""
"exam8-020"	"8"	"20"	"Radiopharmaceuticals"	"Bone Imaging"	"concept"	"5"	"Which of the following radiopharmaceuticals would be used for a bone marrow evaluation?"	"[111In] WBCs"	"[99mTc] RBCs"	"[99mTc] MAA"	"[99mTc] sulfur colloid"	"[99mTc] bicisate (ECD)"	"3"	"[99mTc] sulfur colloid"	"The radiopharmaceutical used for evaluation of bone marrow is 99mTc-sulfur colloid. Filtered or unfiltered sulfur colloid can be used."	"Source: Shackett, 2009; p. 23."	"Question photos/Questions/Exam 8/IMG_1194.jpeg"	"Question photos/Answers/Exam 8/IMG_1266.jpeg"	""	""	""
"exam8-021"	"8"	"21"	"Clinical Procedures"	"Bone Imaging"	"concept"	"1"	"As osteoclastic activity increases in relationship to osteoblastic activity, bone deposition:"	"increases"	"decreases"	"stays constant"	"forms new osteoclasts"	"forms new osteoblasts"	"1"	"decreases"	"Osteoblasts are associated with bone growth, and osteoclasts are associated with absorption and removal of bone. Bone has a constant cycle of absorption and growth."	"Source: Waterstram-Rich and Gilmore, 2017; p. 579."	"Question photos/Questions/Exam 8/IMG_1194.jpeg"	"Question photos/Answers/Exam 8/IMG_1266.jpeg"	""	""	""
"exam8-022"	"8"	"22"	"Clinical Procedures"	"Bone Imaging"	"concept"	"2"	"Hydroxyapatite salts of the bone consist of:"	"stannous pyrophosphate"	"calcium, strontium, phosphorus"	"phosphorus and hydroxide"	"calcium phosphate and calcium carbonate"	"phosphoric calcium and methyl hydroxide"	"3"	"calcium phosphate and calcium carbonate"	"The bone salt material (inorganic matter) has the crystalline form of an apatite and is composed of the following ions: calcium, phosphate, hydroxyl, carbonate, and citrate."	"Source: Waterstram-Rich and Gilmore, 2017; p. 579. "	"Question photos/Questions/Exam 8/IMG_1194.jpeg"	"Question photos/Answers/Exam 8/IMG_1266.jpeg"	""	""	""
"exam8-023"	"8"	"23"	"Radiopharmaceuticals"	"Bone Imaging"	"image-interpretation"	"4"	"A 49-year-old female patient receives 25 mCi of 99mTc-MDP for a bone scan. The organ receiving the greatest radiation dose from this injection is:"	"bones"	"kidneys"	"bone marrow"	"bladder"	"liver"	"3"	"bladder"	"The bladder wall receives the most radiation dose with the bladder wall--approximately 2.6 rads/20 mCi at 2 hours."	"Source: Pharmalucence, Inc. MDP Package Insert, 2008."	"Question photos/Questions/Exam 8/IMG_1194.jpeg"	"Question photos/Answers/Exam 8/IMG_1266.jpeg"	""	""	""
"exam8-024"	"8"	"24"	"Radiation Safety"	"Bone Imaging"	"concept"	"4"	"Bone cancers, bone metastases, and other bone disorders produce extremely high levels of ______ in the blood."	"lactic dehydrogenase"	"alkaline phosphatase"	"amylase"	"creatinine kinase"	"calcium"	"1"	"alkaline phosphatase"	"Bone cancers, bone metastases, and several other bone disorders may produce elevated alkaline phosphatase levels."	"Source: Ziessman, O'Malley, Thrall, and Fahey, 2014; p. 103."	"Question photos/Questions/Exam 8/IMG_1194.jpeg"	"Question photos/Answers/Exam 8/IMG_1266.jpeg"	""	""	""
"exam8-025"	"8"	"25"	"Clinical Procedures"	"Bone Imaging"	"image-interpretation"	"3"	"Normal renal function can be indicated on a bone scan by:"	"equal kidney activity that is less than bone activity"	"equal kidney activity that is significantly more intense than bone activity"	"absence of kidney activity"	"absence of bladder activity"	"absence of kidney and bladder activity"	"0"	"equal kidney activity that is less than bone activity"	"99mTc-MDP or 99mTc-HMDP are excreted via the urinary system and visualization of the kidneys is common. This activity is variable but is usually less than the surrounding bone activity. Kidney disease is associated with pronounced asymmetry of renal activity."	"Source: Waterstram-Rich and Gilmore, 2017; p. 588."	"Question photos/Questions/Exam 8/IMG_1194.jpeg"	"Question photos/Answers/Exam 8/IMG_1266.jpeg"	""	""	""
